案例标题,小红书链接,所属阶段,细分主题,点赞数,内容形式
女生独立买房🏠｜你必须知道的6件事（纯干货）,https://www.xiaohongshu.com/discovery/item/6a72acbd0000000033013822,买房前,买房经验,,
什么原因让聪明的人专挑下雨天看房,https://www.xiaohongshu.com/discovery/item/684ce3d50000000023011c75,买房前,看房技巧,,
买房不带脑子的表现|不问清楚,https://www.xiaohongshu.com/discovery/item/68b9719a000000001d001f73,买房前,买房避坑,,
小白看房（实用版）,https://www.xiaohongshu.com/discovery/item/69096ccf000000000301ee29,买房前,看房攻略,,
打算今年买房的存一下吧！！,https://www.xiaohongshu.com/discovery/item/68243c020000000023000e1a,买房前,买房准备,,
买房避坑❗新手买房楼层怎么选❓几梯几户❓,https://www.xiaohongshu.com/discovery/item/69e05ce5000000002003a4b5,买房前,楼层选择,,
一张图明白房子朝向的优缺点！,https://www.xiaohongshu.com/discovery/item/676d2636000000000b0220fa,买房前,采光朝向,,
买房必看💥新手看房看这些才能不踩坑❗,https://www.xiaohongshu.com/discovery/item/674be57200000000070285df,买房前,看房避坑,,
买房挑户型，满足这些才是好户型的布局,https://www.xiaohongshu.com/discovery/item/61a83c44000000000102c6d8,买房前,户型选择,,
买房难？从小白到大神，教你11招看懂户型图,https://www.xiaohongshu.com/discovery/item/60a37056000000000102c4bb,买房前,户型分析,,
都说买房户型很重要，小白到底怎么选,https://www.xiaohongshu.com/discovery/item/66704c46000000001d0169ff,买房前,户型选择,,
手把手教你识破买房避坑‼️,https://www.xiaohongshu.com/discovery/item/6841749e000000002300f196,买房前,综合避坑,,
