选题标题,所属阶段,内容方向,参考案例,选题类型,备注
买房前一定要看懂的5种户型，否则入住后很难改,买房前,户型选择,买房挑户型满足这些才是好户型的布局,避坑型,
什么样的户型才算好户型？设计师看重这几个地方,买房前,户型分析,买房挑户型满足这些才是好户型的布局,知识科普,
买房小白如何看懂户型图？记住这11个关键点,买房前,户型分析,买房难？从小白到大神教你看懂户型图,教程型,
别急着买房，先看看这个户型有没有改造空间,买房前,空间规划,买房挑户型满足这些才是好户型的布局,决策型,
为什么很多人入住后才发现房子不好住？买房时忽略了这几点,买房前,买房避坑,新手看房看这些才能不踩坑,痛点型,
第一次买房，一定要提前确认的6个细节,买房前,看房避坑,买房必看新手看房看这些才能不踩坑,清单型,
聪明的人为什么喜欢下雨天看房？原来是在看这些细节,买房前,看房技巧,什么原因让聪明的人专挑下雨天看房,反常识型,
买房不要只看面积，这几个空间决定未来居住体验,买房前,空间规划,户型选择类案例,认知型,
同样100㎡，为什么有人住得舒服，有人觉得拥挤？,买房前,户型分析,户型选择类案例,对比型,
买房前一定看采光！房子的朝向决定未来生活质量,买房前,采光朝向,一张图明白房子朝向的优缺点,知识科普型,
